,Unnamed: 0,Flag,English name,Capital,Population 2021 [7][8],Area[a][b] [9],Official languages,Coin,Location,Country
0,1,,Australia,Canberra,23342000,"7,700,000 km²",English,Australian dollar,,Australia
1,2,,Cook Islands,Avarua,8820,236 km²,English Maori  Rarotongan,New Zealand dollar,,Cook Islands
2,3,,Federated States of Micronesia,Palikir,128032,702 km²,English Spanish[22],US dollar,,Federated States of Micronesia
3,4,,Fiji,Suva,851300,"18,275 km²",English Fijian Hindi,Fijian dollar,,Fiji
4,5,,Kiribati,South Tarawa,141362,811 km²,English Gilbertese Chinese[23],Kiribati dollar,,Kiribati
5,6,,Marshall Islands,Majuro,82252,181 km²,English Marshallese Spanish[24],US dollar,,Marshall Islands
6,7,,Nauru,Yaren[25],9122,21 km²,English Nauruan Chinese[23],Nauruan dollar,,Nauru
7,8,,New Zealand,Wellington,4404252,"270,000 km²",English Maori New Zealand Sign Language,New Zealand dollar,,New Zealand
8,9,,Niue,Alofi,1242,261 km²,English Niuean,New Zealand dollar,,Niue
9,10,,Palau,Ngerulmud,22000,460 km²,English Palauan Japanese[26],US dollar,,Palau
10,11,,Papua New Guinea,Port Moresby,8262505,"462,000 km²",English Tok Pisin Hiri Motu Indonesian[27],Kina,,Papua New Guinea
11,12,,Samoa,Apia,188033,2830 km²,English Samoan,Tala,,Samoa
12,13,,Solomon Islands,Honiara,566323,28900 km²,English Pijin,Solomon Islands dollar,,Solomon Islands
13,14,,Tonga,Nuku'alofa,111363,747 km²,English Tongan,Pa'anga,,Tonga
14,15,,Tuvalu,Funafuti,128032,702 km²,English Tuvaluan,Tuvaluan dollar,,Tuvalu
15,16,,Vanuatu,Port Vila,266374,12200 km²,English French Bislama,Vatu,,Vanuatu
